genres,keywords,title,cast,director
Drama Thriller Mystery,toronto lesbian remake of french film suspicious wife female doctor,Chloe,Julianne Moore Liam Neeson Amanda Seyfried Max Thieriot R. H. Thomson,Atom Egoyan
Comedy Crime Drama,kitchen female protagonist bathtub wedding anniversary flashback,Faithful,Cher Chazz Palminteri Ryan O'Neal Paul Mazursky Amber Smith,Paul Mazursky
Drama Action Comedy Crime,court case staatsanw\u00e4ltin family clan gangster,Find Me Guilty,Vin Diesel Alex Rocco Frank Pietrangolare Richard DeDomenico Paul Borghese,Sidney Lumet
Drama Romance,shyness secret narration kiss freshman,The Perks of Being a Wallflower,Logan Lerman Emma Watson Ezra Miller Paul Rudd Nina Dobrev,Stephen Chbosky
Action,police shoulder holster police shootout shootout at a train station,Excessive Force,Thomas Ian Griffith Lance Henriksen James Earl Jones Burt Young Tony Todd,Jon Hess
Drama,killing death penalty kansas author murder hunt,Infamous,Sigourney Weaver Toby Jones Gwyneth Paltrow Sandra Bullock Isabella Rossellini,Douglas McGrath
Drama Romance Western,,The Claim,Peter Mullan Milla Jovovich Wes Bentley Nastassja Kinski Sarah Polley,Michael Winterbottom
Thriller Horror,exorcism anti-christ exorcist,The Vatican Tapes,Olivia Taylor Dudley Michael Pe\u00f1a Djimon Hounsou Dougray Scott Peter Andersson,Mark Neveldine
Action Comedy Science Fiction,street gang fireworks chase meteor playground,Attack the Block,Nick Frost Jodie Whittaker John Boyega Luke Treadaway Flaminia Cinque,Joe Cornish
Drama Romance War,muslim sister sister relationship sarajevo bosnian war of 1992-1995 violence,In the Land of Blood and Honey,Zana Marjanovi\u0107 Goran Kosti\u0107 Branko \u0110uri\u0107 Dzana Pinjo Milo\u0161 Timotijevi\u0107,Angelina Jolie
Crime Thriller,underground gas station kidnapping murder suspense,The Call,Halle Berry Abigail Breslin Morris Chestnut Michael Imperioli Ella Rae Peck,Brad Anderson
History Drama War Action,"korea fictionalized history operation ""trudy jackson"" general douglas macarthur operation x-ray",Operation Chromite,Lee Jung-jae Liam Neeson Lee Beom-soo Jin Se-yeon Jung Joon-ho,John H. Lee
Family Action Adventure,crocodile,The Crocodile Hunter: Collision Course,Steve Irwin Terri Irwin Magda Szubanski David Wenham Lachy Hulme,John Stainton
Comedy Drama Romance,judge small town con man fraud jail,I Love You Phillip Morris,Jim Carrey Ewan McGregor Leslie Mann Rodrigo Santoro Brennan Brown,Glenn Ficarra
Adventure Drama,stone age cavemen prehistoric adventure prehistoric times prehistoric man,Quest for Fire,Everett McGill Ron Perlman Nicholas Kadi Rae Dawn Chong Gary Schwartz,Jean-Jacques Annaud
Drama Romance,u.s. navy biography,Antwone Fisher,Derek Luke Malcolm David Kelley Cory Hodges Denzel Washington Joy Bryant,Denzel Washington
Drama Romance,,The Emperor's Club,Kevin Kline Emile Hirsch Embeth Davidtz Rob Morrow Edward Herrmann,Michael Hoffman
Action Thriller Crime Romance,father son relationship film producer mexican standoff loss of father cocaine,True Romance,Christian Slater Patricia Arquette Michael Rapaport Bronson Pinchot Gary Oldman,Tony Scott
Romance Science Fiction,,Womb,Eva Green Matt Smith Lesley Manville Peter Wight Istv\u00e1n L\u00e9n\u00e1rt,Benedek Fliegauf
Crime Drama Mystery,robbery office shop estate agent company,Glengarry Glen Ross,Al Pacino Jack Lemmon Alec Baldwin Alan Arkin Ed Harris,James Foley
Crime Drama Thriller,sheriff crime fighter,The Killer Inside Me,Casey Affleck Kate Hudson Jessica Alba Ned Beatty Tom Bower,Michael Winterbottom
Drama Fantasy Horror Thriller,shotgun attack lingerie held captive incest,Cat People,Nastassja Kinski Malcolm McDowell John Heard Ruby Dee Ed Begley Jr.,Paul Schrader
Horror Mystery Thriller,female nudity graduation serial killer blood slasher,Sorority Row,Rumer Willis Briana Evigan Jamie Chung Leah Pipes Teri Andrzejewski,Stewart Hendler
Adventure Drama Romance,kidnapping coronation villain kingdom heir to the throne,The Prisoner of Zenda,Ronald Colman Madeleine Carroll Raymond Massey Mary Astor Douglas Fairbanks Jr.,John Cromwell
Comedy Romance Drama,garage lone wolf dying and death loss delusion,Lars and the Real Girl,Ryan Gosling Emily Mortimer Paul Schneider Kelli Garner Lauren Ash,Craig Gillespie
War Drama,nationalism concentration camp world war ii gas chamber nazis,The Boy in the Striped Pyjamas,Asa Butterfield Jack Scanlon Vera Farmiga David Thewlis Rupert Friend,Mark Herman
Drama Crime Music,individual dancing usa robbery factory worker,Dancer in the Dark,Bj\u00f6rk Catherine Deneuve David Morse Peter Stormare Joel Grey,Lars von Trier
Drama Romance,minister australia inheritance wager woman director,Oscar and Lucinda,Ralph Fiennes Cate Blanchett Ciar\u00e1n Hinds Tom Wilkinson Richard Roxburgh,Gillian Armstrong
Crime Drama,suicide bedroom strike great depression trade union,The Funeral,Christopher Walken Chris Penn Annabella Sciorra Isabella Rossellini Vincent Gallo,Abel Ferrara
Comedy Drama Romance,infidelity bankrupt loneliness comedy family drama,Solitary Man,Michael Douglas Danny DeVito Jesse Eisenberg Susan Sarandon Mary-Louise Parker,Brian Koppelman
Action Comedy Thriller,illegal immigration immigration law machete politician death of a child,Machete,Danny Trejo Michelle Rodriguez Jessica Alba Robert De Niro Lindsay Lohan,Robert Rodriguez
Crime Comedy Drama,biography duringcreditsstinger,Casino Jack,Kevin Spacey Kelly Preston Hannah Endicott-Douglas Rachelle Lefevre Barry Pepper,George Hickenlooper
Animation Adventure Family,vulkan loss of mother tyrannosaurus rex earthquake primitive time,The Land Before Time,Gabriel Damon Candace Hutson Judith Barsi Will Ryan Pat Hingle,Don Bluth
Action Adventure Drama History War,archaeologist korean war north korea south korea air raid,Tae Guk Gi: The Brotherhood of War,Jang Dong-gun Won Bin Lee Eun-ju Gong Hyung-jin Park Jeong-Woo,Kang Je-gyu
Drama Family,baseball sport based on true story family relationships,The Perfect Game,Clifton Collins Jr Cheech Marin Mois\u00e9s Arias Emilie de Ravin Jake T. Austin,William Dear
Drama Horror Thriller,exorcism holy water religion and supernatural vomit christian,The Exorcist,Linda Blair Max von Sydow Ellen Burstyn Jason Miller Lee J. Cobb,William Friedkin
Horror Thriller Adventure,fishing atlantic ocean bathing shipwreck police chief,Jaws,Roy Scheider Robert Shaw Richard Dreyfuss Lorraine Gary Murray Hamilton,Steven Spielberg
Comedy Romance,graduation innocence coming of age teenager high school student,American Pie,Jason Biggs Chris Klein Thomas Ian Nicholas Alyson Hannigan Shannon Elizabeth,Chris Weitz
Animation Comedy Drama Family,mouse musician friendship prejudice bear,Ernest & Celestine,Anne-Marie Loop Lambert Wilson Pauline Brunner Patrice Melennec Brigitte Virtudes,St\u00e9phane Aubier
Action Adventure Comedy,monk social worker wretch tibet demon,The Golden Child,Eddie Murphy Charles Dance Charlotte Lewis Victor Wong Peter Kwong,Michael Ritchie
Comedy Romance,advice love relationship ensemble cast duringcreditsstinger,Think Like a Man,Michael Ealy Jerry Ferrara Meagan Good Regina Hall Kevin Hart,Tim Story
Comedy Drama,hairdresser shop neighbor debt meeting,Barbershop,Ice Cube Anthony Anderson Cedric the Entertainer Sean Patrick Thomas Eve,Tim Story
Action Adventure Science Fiction Thriller,uss enterprise genesis asteroid self sacrifice midlife crisis,Star Trek II: The Wrath of Khan,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Nicholas Meyer
Comedy Mystery,dolphin mascot private detective pets,Ace Ventura: Pet Detective,Jim Carrey Sean Young Courteney Cox Tone Loc Dan Marino,Tom Shadyac
Thriller Science Fiction,video game artificial intelligence fbi cold war hacker,WarGames,Matthew Broderick Dabney Coleman Ally Sheedy John Wood Barry Corbin,John Badham
Crime Drama Romance Thriller,corruption detective police brutality amish suspense,Witness,Harrison Ford Kelly McGillis Josef Sommer Lukas Haas Jan Rubes,Peter Weir
Action Thriller War,submarine navy scuba diving heroism navy seal,Act of Valor,Roselyn S\u00e1nchez Emilio Rivera Nestor Serrano Gonzalo Menendez Alexander Asefa,Mike McCoy
Music Drama Romance Crime,dancing new love dance baltimore art school,Step Up,Channing Tatum Jenna Dewan Damaine Radcliff De'Shawn Washington Mario,Anne Fletcher
Animation Comedy,washington d.c. casino hotel sun television,Beavis and Butt-Head Do America,Mike Judge Bruce Willis Demi Moore Robert Stack Richard Linklater,Mike Judge
Comedy Crime Romance,airport underworld arms deal weapon police,Jackie Brown,Pam Grier Samuel L. Jackson Robert Forster Bridget Fonda Michael Keaton,Quentin Tarantino
Comedy Adventure,terrorist aftercreditsstinger duringcreditsstinger,Harold & Kumar Escape from Guantanamo Bay,John Cho Kal Penn Neil Patrick Harris Rob Corddry Jack Conley,Jon Hurwitz
Science Fiction Drama Thriller,seattle telekinesis friendship loneliness outcast,Chronicle,Dane DeHaan Alex Russell Michael B. Jordan Michael Kelly Anna Wood,Josh Trank
Music Drama Romance,studies music disguise unhappiness boys' school,Yentl,Barbra Streisand Mandy Patinkin Amy Irving Nehemiah Persoff Steven Hill,Barbra Streisand
Family Fantasy Science Fiction Adventure Comedy,treasure map magic time travel titanic,Time Bandits,Sean Connery John Cleese Shelley Duvall Michael Palin Ian Holm,Terry Gilliam
Action Adventure Comedy Drama Family,dancing women sex karaoke dream,Crossroads,Britney Spears Zoe Saldana Taryn Manning Anson Mount Dan Aykroyd,Tamra Davis
Comedy Crime,vandalism high school swimming pool party teen movie,Project X,Oliver Cooper Jonathan Daniel Brown Thomas Mann Dax Flame Kirby Bliss Blanton,Nima Nourizadeh
Drama History War,general world war ii normandy biography historical figure,Patton,George C. Scott Karl Malden Stephen Young Michael Strong Carey Loftin,Franklin J. Schaffner
Horror Thriller,sexual abuse hotel room cheating supermarket penalty,One Hour Photo,Robin Williams Connie Nielsen Michael Vartan Erin Daniels Eriq La Salle,Mark Romanek
Horror Science Fiction Thriller,quarantine remake tv reporter found footage virus,Quarantine,Jennifer Carpenter Steve Harris Jay Hernandez Johnathon Schaech Columbus Short,John Erick Dowdle
Drama Horror Thriller,sister sister relationship blindness and impaired vision eye operation eyesight dying and death,The Eye,Jessica Alba Alessandro Nivola Parker Posey Rade Serbedzija Fernanda Romero,David Moreau
Comedy Family,,Johnson Family Vacation,Cedric the Entertainer Vanessa Williams Steve Harvey Shari Headley Shad Moss,Christopher Erskin
Comedy,carpet pimp harvard university joint cannabis,How High,Method Man Redman Obba Babatund\u00e9 Mike Epps Anna Maria Horsford,Jesse Dylan
Comedy Family Fantasy Drama,holiday future musical past scrooge,The Muppet Christmas Carol,Michael Caine Don Austen Meredith Braun Don Austen Ed Sanders,Brian Henson
Drama Romance,painter love of one's life disabled woman director,Frida,Salma Hayek Alfred Molina M\u00eda Maestro Patricia Reyes Sp\u00edndola Diego Luna,Julie Taymor
Documentary Music,woman director,Katy Perry: Part of Me,Katy Perry Russell Brand Shannon Woodward Rachael Markarian Mia Moretti,Dan Cutforth
Romance Drama,amsterdam based on novel support group cancer teenager,The Fault in Our Stars,Shailene Woodley Ansel Elgort Nat Wolff Laura Dern Sam Trammell,Josh Boone
Drama Crime,gambling law compulsive gambling roulette gain,Rounders,Matt Damon John Turturro Gretchen Mol Goran Visnjic Edward Norton,John Dahl
Drama Comedy,comedian interview reporter movie star fianc\u00e9 fianc\u00e9e relationship,Top Five,Chris Rock Rosario Dawson J.B. Smoove Gabrielle Union Romany Malco,Chris Rock
Horror Science Fiction,monster mutant toxic native american environmental,Prophecy,Talia Shire Robert Foxworth Armand Assante Richard Dysart Victoria Racimo,John Frankenheimer
Horror Mystery Thriller,secret obsession paranoia grave haunted house,Stir of Echoes,Kevin Bacon Kathryn Erbe Illeana Douglas Kevin Dunn Conor O'Farrell,David Koepp
Drama,mother washington d.c. journalist adoption forgiveness,Philomena,Judi Dench Steve Coogan Sophie Kennedy Clark Mare Winningham Barbara Jefford,Stephen Frears
Comedy Drama,sex lie college funeral friendship,The Upside of Anger,Joan Allen Kevin Costner Erika Christensen Keri Russell Alicia Witt,Mike Binder
Horror Drama Thriller Science Fiction,paraguay mengele nazi hunter third reich,The Boys from Brazil,Gregory Peck Laurence Olivier James Mason Lilli Palmer Uta Hagen,Franklin J. Schaffner
Fantasy Romance Family Comedy,female friendship mermaid teenager woman director,Aquamarine,Emma Roberts Joanna 'JoJo' Levesque Sara Paxton Jake McDorman Arielle Kebbel,Elizabeth Allen Rosenbaum
Drama Mystery Romance,friendship high school teenager classmate based on young adult novel,Paper Towns,Nat Wolff Cara Delevingne Justice Smith Austin Abrams Halston Sage,Jake Schreier
Comedy,birth expectant mother fatherhood baby born woman director,My Baby's Daddy,Eddie Griffin Anthony Anderson Michael Imperioli Method Man Paula Jai Parker,Cheryl Dunye
Drama Adventure,montana small town dementia aging road trip,Nebraska,Bruce Dern Will Forte Bob Odenkirk June Squibb Stacy Keach,Alexander Payne
Horror Comedy Thriller,prostitute key jesus christ chosen one god,Tales from the Crypt: Demon Knight,Billy Zane William Sadler Jada Pinkett Smith Brenda Bakke CCH Pounder,Ernest R. Dickerson
Comedy Family Fantasy Science Fiction,,Max Keeble's Big Move,Alex D. Linz Zena Grey Nora Dunn Larry Miller Josh Peck,Tim Hill
Comedy Drama,jealousy dark comedy writer divorce alcoholic,Young Adult,Charlize Theron Patton Oswalt Patrick Wilson Elizabeth Reaser Collette Wolfe,Jason Reitman
Action Thriller Crime,poison helicopter assassin nudity hitman,Crank,Jason Statham Amy Smart Jose Pablo Cantillo Efren Ramirez Dwight Yoakam,Brian Taylor
Comedy Romance,sex party friends player,Def Jam's How to Be a Player,Bill Bellamy Lark Voorhies Bernie Mac Elise Neal,Lionel C. Martin
Comedy Drama Romance,female protagonist relationship divorce brooklyn bridge,Living Out Loud,Holly Hunter Danny DeVito Queen Latifah Martin Donovan Rachael Leigh Cook,Richard LaGravenese
Comedy Drama Romance,woman director,Just Wright,Queen Latifah Common Paula Patton James Pickens Jr. Phylicia Rash\u0101d,Sanaa Hamri
Drama,sister independent film maid of honor,Rachel Getting Married,Anne Hathaway Rosemarie DeWitt Sebastian Stan Roslyn Ruff Bill Irwin,Jonathan Demme
Romance Crime Drama,sex adultery confession based on novel obsession,The Postman Always Rings Twice,Jack Nicholson Jessica Lange John Colicos Michael Lerner Anjelica Huston,Bob Rafelson
Drama Romance,painter biography painting maid,Girl with a Pearl Earring,Scarlett Johansson Colin Firth Cillian Murphy Tom Wilkinson Judy Parfitt,Peter Webber
Action Drama History War Adventure,terror submarine based on novel atlantic ocean gibraltar,Das Boot,J\u00fcrgen Prochnow Herbert Gr\u00f6nemeyer Klaus Wennemann Hubertus Bengsch Martin Semmelrogge,Wolfgang Petersen
Comedy,sorority cross dressing university t shirt sorority girl,Sorority Boys,Barry Watson Michael Rosenbaum Harland Williams Melissa Sagemiller Tony Denman,Wallace Wolodarsky
Comedy Drama Science Fiction,london england father son relationship time travel,About Time,Domhnall Gleeson Rachel McAdams Bill Nighy Lydia Wilson Lindsay Duncan,Richard Curtis
Adventure Drama Action Romance,martial arts swordplay government rebellion dagger,House of Flying Daggers,Takeshi Kaneshiro Andy Lau Zhang Ziyi Song Dandan Zhao Hongfei,Zhang Yimou
Drama Thriller,cover-up hedge fund,Arbitrage,Richard Gere Susan Sarandon Tim Roth Brit Marling Monica Raymund,Nicholas Jarecki
Science Fiction Thriller,time travel time machine teenager found footage,Project Almanac,Jonny Weston Virginia Gardner Sofia Black-D'Elia Sam Lerner Allen Evangelista,Dean Israelite
Drama History Music,woman director,Cadillac Records,Adrien Brody Jeffrey Wright Beyonc\u00e9 Knowles Gabrielle Union Columbus Short,Darnell Martin
Action Comedy,,Screwed,Norm Macdonald Dave Chappelle Danny DeVito Elaine Stritch Daniel Benzali,Scott Alexander
Action Thriller Science Fiction,prison cyborg married couple future dystopia,Fortress,Christopher Lambert Kurtwood Smith Loryn Locklin Clifton Collins Jr Jeffrey Combs,Stuart Gordon
Comedy Drama,,For Your Consideration,Catherine O'Hara Harry Shearer Parker Posey Christopher Moynihan John Michael Higgins,Christopher Guest
Drama Comedy,exzentrik independent film reporter ex-wife spectacle,Celebrity,Kenneth Branagh Judy Davis Joe Mantegna Leonardo DiCaprio Charlize Theron,Woody Allen
Drama Comedy,gay sister sister relationship wife husband relationship 1970s becoming an adult,Running with Scissors,Annette Bening Brian Cox Joseph Cross Joseph Fiennes Evan Rachel Wood,Ryan Murphy
Comedy Romance,musical,From Justin to Kelly,Kelly Clarkson Justin Guarini  Brandon Henschel Greg Siff Brian Dietzen,Robert Iscove
Comedy,independent film neighbor masturbation phone sex actress,Girl 6,Theresa Randle Isaiah Washington Spike Lee Jenifer Lewis Debi Mazar,Spike Lee
Mystery Thriller,eroticism suspense woman director,In the Cut,Meg Ryan Mark Ruffalo Jennifer Jason Leigh Nick Damici Heather Litteer,Jane Campion
Drama Romance,love of one's life neighbor,Two Lovers,Joaquin Phoenix Gwyneth Paltrow Isabella Rossellini Vinessa Shaw Moni Moshonov,James Gray
Comedy Drama,based on novel war veteran male friendship death of a friend friendship,Last Orders,Michael Caine Tom Courtenay David Hemmings Bob Hoskins Helen Mirren,Fred Schepisi
Horror Drama Science Fiction,river mobile phone bravery archer daughter,The Host,Song Kang-ho Park Hae-il Bae Doona Ko Ah-sung Byun Hee-bong,Bong Joon-ho
Adventure Crime Thriller,,The Pursuit of D.B. Cooper,Robert Duvall Treat Williams Kathryn Harrold Ed Flanders Paul Gleason,Roger Spottiswoode
Comedy Horror Thriller Western,winter cliff cooking cave nudity,Ravenous,Guy Pearce Robert Carlyle David Arquette Jeremy Davies Neal McDonough,Antonia Bird
Comedy Drama,depression suicide attempt medicine new love drug addiction,Charlie Bartlett,Anton Yelchin Robert Downey Jr. Hope Davis Kat Dennings Tyler Hilton,Jon Poll
Comedy Drama,alcohol rome vatican based on novel birthday,The Great Beauty,Toni Servillo Carlo Verdone Sabrina Ferilli Carlo Buccirosso Iaia Forte,Paolo Sorrentino
Comedy Drama,independent film,The Dangerous Lives of Altar Boys,Emile Hirsch Kieran Culkin Jodie Foster Vincent D'Onofrio Jena Malone,Peter Care
Drama Horror Thriller,mystery,Stoker,Mia Wasikowska Nicole Kidman Matthew Goode Dermot Mulroney Jacki Weaver,Park Chan-wook
Fantasy Drama Science Fiction Romance,free love hotel lovesickness sexuality kung fu,2046,Tony Leung Chiu-Wai Zhang Ziyi Faye Wong Takuya Kimura Gong Li,Wong Kar-wai
Crime Drama Romance,sex jealousy lover (female) restaurant deceived husband,Married Life,Chris Cooper Pierce Brosnan Patricia Clarkson Rachel McAdams David Wenham,Ira Sachs
Adventure Drama Family,adolescence loss of father lion south africa bullying,Duma,Alex Michaeletos Campbell Scott Mary Makhatho Nthabiseng Kenoshi Hope Davis,Carroll Ballard
Drama Romance,alcohol mermaid wedding dress fishing net selkie,Ondine,Colin Farrell Alicja Bachleda-Curu\u015b Dervla Kirwan Alison Barry Marion O'Dwyer,Neil Jordan
Crime Drama Thriller,brother brother relationship assassination culture clash war on drugs yakuza,Brother,Takeshi Kitano Omar Epps Claude Maki Susumu Terajima Masaya Kato,Takeshi Kitano
Comedy,safe remake heist inner city,Welcome to Collinwood,William H. Macy Isaiah Washington Sam Rockwell Michael Jeter Luis Guzm\u00e1n,Anthony Russo
Comedy Drama,nun satire hospital half sister,Critical Care,James Spader Kyra Sedgwick Helen Mirren Albert Brooks Anne Bancroft,Sidney Lumet
Thriller Drama Mystery,suspense,The Life Before Her Eyes,Uma Thurman Evan Rachel Wood Eva Amurri Martino Gabrielle Brennan Brett Cullen,Vadim Perelman
Drama Romance,aftercreditsstinger,Darling Companion,Diane Keaton Kevin Kline Sam Shepard Dianne Wiest Richard Jenkins,Lawrence Kasdan
Drama Thriller,usa sex brother sister relationship mexico city border,Trade,Kevin Kline Cesar Ramos Paulina Gaita\u0301n Alicja Bachleda-Curu\u015b Marco P\u00e9rez,Marco Kreuzpaintner
War Drama,budapest hungary concentration camp world war ii,Fateless,Marcell Nagy B\u00e9la D\u00f3ra B\u00e1lint P\u00e9ntek \u00c1ron Dim\u00e9ny P\u00e9ter Fancsikai,Lajos Koltai
Comedy,wife husband relationship success author extramarital affair,Breakfast of Champions,Bruce Willis Albert Finney Nick Nolte Barbara Hershey Glenne Headly,Alan Rudolph
Comedy Drama Thriller,,"A Woman, a Gun and a Noodle Shop",Sun Honglei Xiao Shen Yang Yan Ni Ni Dahong Zhao Benshan,Zhang Yimou
Thriller Science Fiction Mystery,double life undercover lie wife company,Cypher,Jeremy Northam Lucy Liu Nigel Bennett Timothy Webber David Hewlett,Vincenzo Natali
Drama History War,war crimes mass murder war victim sino japanese war massacre,City of Life and Death,Liu Ye Gao Yuanyuan Hideo Nakaizumi John Paisley Beverly Peckous,Lu Chuan
Animation Family Action Adventure Comedy,,Legend of a Rabbit,Jon Heder Tom Arnold Michael Clarke Duncan Rebecca Black Claire Geare,Lijun Sun
Science Fiction,,Space Battleship Yamato,Hiroyuki Ikeuchi Takuya Kimura Meisa Kuroki Toshir\u014d Yanagiba Tsutomu Yamazaki,Takashi Yamazaki
War Drama,journalist interpreter georgia europe war zone,5 Days of War,Rupert Friend Val Kilmer Andy Garc\u00eda Dean Cain Emmanuelle Chriqui,Renny Harlin
Horror,ocean florida autism key yacht,Triangle,Melissa George Liam Hemsworth Emma Lung Rachael Carpani Michael Dorman,Christopher Smith
Drama,undercover insane asylum reporter,10 Days in a Madhouse,Caroline Barry Christopher Lambert Kelly LeBrock Julia Chantrey Alexandra Callas,Timothy Hines
Drama,based on novel faith based on true events,Heaven is for Real,Greg Kinnear Kelly Reilly Connor Corum Thomas Haden Church Jon Ted Wynne,Randall Wallace
Thriller Crime,gypsy bare knuckle boxing slang trailer park pig,Snatch,Jason Statham Brad Pitt Vinnie Jones Dennis Farina Benicio del Toro,Guy Ritchie
Drama Romance,dancing competition hotel florida dance teacher,Dancin' It's On,Witney Carson Chehon Wespi-Tschopp Gary Daniels David Winters Jordan Clark,David Winters
Drama Horror,coffin pet funeral head injury grief,Pet Sematary,Dale Midkiff Fred Gwynne Denise Crosby Brad Greenquist Michael Lombard,Mary Lambert
Drama,,Madadayo,Tatsuo Matsumura Ky\u00f4ko Kagawa Hisashi Igawa George Tokoro Masayuki Yui,Akira Kurosawa
Drama,suspense,The Cry of the Owl,Paddy Considine Julia Stiles Caroline Dhavernas James Gilbert Karl Pruner,Jamie Thraves
Drama History Romance,woman director,A Tale of Three Cities,Lau Ching-Wan Tang Wei Qin Hailu Jing Boran,Mabel Cheung
Fantasy Horror Comedy,holiday monster small town department store bars and restaurants,Gremlins,Zach Galligan Phoebe Cates Hoyt Axton Polly Holliday Dick Miller,Joe Dante
Adventure Action Science Fiction,android galaxy hermit death star lightsaber,Star Wars,Mark Hamill Harrison Ford Carrie Fisher Peter Cushing Alec Guinness,George Lucas
Comedy,grandfather grandson relationship grandfather road trip wedding retired,Dirty Grandpa,Zac Efron Robert De Niro Julianne Hough Aubrey Plaza Dermot Mulroney,Dan Mazer
Drama Romance War,love triangle nurse suicide attempt loss of family world war i,Doctor Zhivago,Omar Sharif Julie Christie Geraldine Chaplin Rod Steiger Alec Guinness,David Lean
Adventure Crime Drama Thriller,brazilian drama thriller,Trash,Rickson Tevez Eduardo Luis Gabriel Weinstein Rooney Mara Selton Mello,Stephen Daldry
Comedy Drama Family Music Romance,musical music high school coming of age teenager,High School Musical 3: Senior Year,Zac Efron Vanessa Hudgens Ashley Tisdale Lucas Grabeel Corbin Bleu,Kenny Ortega
Drama,sport irish american documentary crew lowell massachusetts blue collar worker,The Fighter,Mark Wahlberg Christian Bale Amy Adams Melissa Leo Mickey O'Keefe,David O. Russell
Action Comedy Documentary,wound disgust pain stunts stuntman,Jackass Number Two,Johnny Knoxville Bam Margera Steve-O Chris Pontius Ryan Dunn,Jeff Tremaine
Comedy Drama,prison southern usa suspicion cousin court,My Cousin Vinny,Joe Pesci Ralph Macchio Marisa Tomei Mitchell Whitfield Fred Gwynne,Jonathan Lynn
Drama,coma musician teenage girl car accident teenager,If I Stay,Chlo\u00eb Grace Moretz Jamie Blackley Liana Liberato Mireille Enos Stacy Keach,R.J. Cutler
Action Comedy Crime,,Drive Hard,Thomas Jane John Cusack Zoe Ventoura Damien Garvey Christopher Morris,Brian Trenchard-Smith
Comedy,baseball sport sabotage sombrero baseball field,Major League,Tom Berenger Charlie Sheen Corbin Bernsen Margaret Whitton James Gammon,David S. Ward
Comedy Family Science Fiction,solidarity snake exhibit musical shenanigan,St. Trinian's,Talulah Riley Rupert Everett Gemma Arterton Colin Firth Lena Headey,Barnaby Thompson
Thriller Drama,terrorist phone booth psychopath,Phone Booth,Colin Farrell Kiefer Sutherland Forest Whitaker Radha Mitchell Katie Holmes,Joel Schumacher
Drama Romance,based on novel theatre group north carolina theatre milieu high school,A Walk to Remember,Mandy Moore Shane West Peter Coyote Daryl Hannah Lauren German,Adam Shankman
Drama,prison rape socially deprived family penalty death penalty,Dead Man Walking,Susan Sarandon Sean Penn Robert Prosky Raymond J. Barry R. Lee Ermey,Tim Robbins
Drama Romance Thriller,upper class sexual obsession sex bet sadistic,Cruel Intentions,Sarah Michelle Gellar Ryan Phillippe Reese Witherspoon Selma Blair Louise Fletcher,Roger Kumble
Horror Mystery,aftercreditsstinger,Saw VI,Tobin Bell Costas Mandylor Betsy Russell Mark Rolston Peter Outerbridge,Kevin Greutert
Comedy,moses roman empire musical stone age music,History of the World: Part I,Mel Brooks Dom DeLuise Madeline Kahn Harvey Korman Cloris Leachman,Mel Brooks
Adventure,woman director,The Secret Life of Bees,Dakota Fanning Queen Latifah Jennifer Hudson Sophie Okonedo Alicia Keys,Gina Prince-Bythewood
Action Comedy Crime,,Corky Romano,Chris Kattan Vinessa Shaw Peter Falk Peter Berg Chris Penn,Rob Pritts
Drama Horror Thriller Crime,,Raising Cain,John Lithgow Lolita Davidovich Steven Bauer Frances Sternhagen Gregg Henry,Brian De Palma
Drama Action,,F.I.S.T.,Sylvester Stallone Rod Steiger Peter Boyle Melinda Dillon David Huffman,Norman Jewison
Science Fiction,space invasion remake alien invasion,Invaders from Mars,Karen Black Hunter Carson Timothy Bottoms Laraine Newman James Karen,Tobe Hooper
Drama Romance,love triangle based on novel homesickness vororte ship,Brooklyn,Saoirse Ronan Domhnall Gleeson Emory Cohen Jim Broadbent Julie Walters,John Crowley
Drama Romance War,palace british army fencing epic debt,Barry Lyndon,Ryan O'Neal Marisa Berenson Hardy Kr\u00fcger Diana K\u00f6rner Frank Middlemass,Stanley Kubrick
Comedy,manager alcohol races mountains gondola,Out Cold,Jason London Lee Majors Zach Galifianakis Victoria Silvstedt David Koechner,Brendan Malloy
Comedy,female nudity tattoo radio cheat on husband eating contest,The Ladies Man,Tim Meadows Karyn Parsons Billy Dee Williams John Witherspoon Jill Talley,Reginald Hudlin
Drama Comedy Romance,musician concert retired,Quartet,Maggie Smith Tom Courtenay Billy Connolly Pauline Collins Michael Gambon,Dustin Hoffman
Comedy Romance,compulsive gambling roulette stag night group of friends,Tomcats,Jerry O'Connell Shannon Elizabeth Jake Busey Horatio Sanz Bernie Casey,Gregory Poirier
Drama Thriller Crime,angel sheriff loss of mother 1970s texas,Frailty,Bill Paxton Matthew McConaughey Powers Boothe Matt O'Leary Jeremy Sumpter,Bill Paxton
Drama,nazis based on true story art stolen painting,Woman in Gold,Helen Mirren Ryan Reynolds Tatiana Maslany Katie Holmes Max Irons,Simon Curtis
Drama,free love sex sexuality indiana professor,Kinsey,Liam Neeson Laura Linney Chris O'Donnell Peter Sarsgaard Timothy Hutton,Bill Condon
Fantasy Horror Comedy,prophecy witch swordplay supermarket castle,Army of Darkness,Bruce Campbell Embeth Davidtz Marcus Gilbert Ian Abercrombie Richard Grove,Sam Raimi
Comedy Romance,male nudity drug abuse job interview eavesdropping fall,Slackers,Jason Segel Devon Sawa Jason Schwartzman Jaime King Cameron Diaz,Dewey Nicks
