genres,keywords,title,cast,director,popularity
Drama Music Romance,new york jazz saxophonist falling in love,"New York, New York",Liza Minnelli Robert De Niro Lionel Stander Barry Primus Dick Miller,Martin Scorsese,3.876242
Comedy Drama,black people 1970s jazz musician stra\u00dfenkids dysfunctional family,Crooklyn,Alfre Woodard Delroy Lindo David Patrick Kelly Zelda Harris Carlton Williams,Spike Lee,1.89218
Comedy Romance,,I Think I Love My Wife,Chris Rock Kerry Washington Gina Torres Steve Buscemi Edward Herrmann,Chris Rock,4.536745
Horror Science Fiction,places and planets space marine future cryogenics space,Jason X,Kane Hodder Lexa Doig Chuck Campbell Lisa Ryder David Cronenberg,James Isaac,11.220642999999999
History Drama,hotel senator kitchen marriage crisis politics,Bobby,Anthony Hopkins Heather Graham Ashton Kutcher Mary Elizabeth Winstead Helen Hunt,Emilio Estevez,11.706309
Comedy Romance,supermodel stalking models,Head Over Heels,Monica Potter Freddie Prinze Jr. Shalom Harlow Ivana Mili\u010devi\u0107 Sarah Murdoch,Mark Waters,4.66723
Comedy,halloween friends little brother trick or treating boyfriend girlfriend relationship,Fun Size,Victoria Justice Jackson Nicoll Chelsea Handler Josh Pence Jane Levy,Josh Schwartz,7.487842999999999
Drama,writing lover (female) psychological stress dying and death editor-in-chief,The Diving Bell and the Butterfly,Mathieu Amalric Emmanuelle Seigner Marie-Jos\u00e9e Croze Anne Consigny Patrick Chesnais,Julian Schnabel,13.65494
Romance Drama,skateboarding mother american football adultery wife husband relationship,Little Children,Kate Winslet Patrick Wilson Jennifer Connelly Jackie Earle Haley Noah Emmerich,Todd Field,11.942862
Drama Mystery Thriller,college suspense gossip rumor social experiment,Gossip,Joshua Jackson James Marsden Kate Hudson Lena Headey Norman Reedus,Davis Guggenheim,5.833687
Drama Romance,adultery woodstock 1960s,A Walk on the Moon,Diane Lane Viggo Mortensen Liev Schreiber Anna Paquin Tovah Feldshuh,Tony Goldwyn,6.370267
Action Drama Thriller,police brutality resistance south africa apartheid african national congress,Catch a Fire,Tim Robbins Derek Luke Bonnie Henna Mncedisi Shabangu Tumisho Masha,Phillip Noyce,4.052219
Horror Mystery Thriller,hallucination car crash death sole survivor,Soul Survivors,Eliza Dushku Melissa Sagemiller Wes Bentley Casey Affleck Angela Featherstone,Stephen Carpenter,3.231848
Drama Romance,france revolution biography president history,Jefferson in Paris,Nick Nolte Greta Scacchi Thandie Newton Gwyneth Paltrow Jean-Pierre Aumont,James Ivory,0.900442
Comedy Romance,,Easy Virtue,Jessica Biel Ben Barnes Kristin Scott Thomas Colin Firth Kimberley Nixon,Stephan Elliott,8.387573
Action Adventure Drama Romance,,Caravans,Anthony Quinn Jennifer O'Neill Michael Sarrazin Christopher Lee Joseph Cotten,James Fargo,0.633004
History Drama,painter,Mr. Turner,Timothy Spall Dorothy Atkinson Marion Bailey Paul Jesson Lesley Manville,Mike Leigh,9.242554
Drama Romance,whiskey experimental film wallet cult director,Wild Grass,Andr\u00e9 Dussollier Sabine Az\u00e9ma Emmanuelle Devos Mathieu Amalric Anne Consigny,Alain Resnais,1.866443
Drama History,vatican pope concentration camp holocaust schutzstaffel,Amen.,Ulrich Tukur Mathieu Kassovitz Ulrich M\u00fche Michel Duchaussoy Marcel Iure\u0219,Costa-Gavras,5.9305330000000005
History Action,martial arts sword fight wuxia,Reign of Assassins,Michelle Yeoh Jung Woo-sung Wang Xue-qi Barbie Hsu Shawn Yue,John Woo,4.930129
Comedy Drama History,friendship war road trip independent film soldier,The Lucky Ones,Tim Robbins Rachel McAdams Michael Pe\u00f1a Kerry Bish\u00e9 Molly Hagan,Neil Burger,8.747922
Drama,new york bus nightmare witness investigation,Margaret,Anna Paquin Matt Damon Mark Ruffalo Matthew Broderick Jeannie Berlin,Kenneth Lonergan,4.8984239999999994
Comedy Horror,halloween slapstick duringcreditsstinger,Stan Helsing,Diora Baird Leslie Nielsen Steve Howey Kenan Thompson Tara Wilson,Bo Zenga,7.410522999999999
Romance Drama,shyness based on novel unrequited love neighbor family relationships,Flipped,Madeline Carroll Callan McAuliffe Rebecca De Mornay Anthony Edwards John Mahoney,Rob Reiner,24.210698
Drama Romance,gay countryside homophobia loss of lover wyoming,Brokeback Mountain,Heath Ledger Jake Gyllenhaal Randy Quaid Michelle Williams Anne Hathaway,Ang Lee,44.135568
Comedy Drama Romance,puberty high school make a match spoiled child gay interest,Clueless,Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison,Amy Heckerling,16.051328
Drama Romance,black people wife husband relationship botanist homosexuality,Far from Heaven,Julianne Moore Dennis Quaid Dennis Haysbert Patricia Clarkson Viola Davis,Todd Haynes,9.982885000000001
Comedy,time travel sequel hot tub duringcreditsstinger,Hot Tub Time Machine 2,Rob Corddry Craig Robinson Clark Duke Adam Scott Chevy Chase,Steve Pink,16.618873999999998
Drama,asylum french revolution french smuggling maid,Quills,Geoffrey Rush Kate Winslet Joaquin Phoenix Michael Caine Billie Whitelaw,Philip Kaufman,7.261196000000001
Comedy Crime,suicide alcohol sex screenwriter underworld,Seven Psychopaths,Colin Farrell Sam Rockwell Woody Harrelson Christopher Walken Tom Waits,Martin McDonagh,32.306455
Drama Mystery Thriller,woman director,The Caveman's Valentine,Samuel L. Jackson Colm Feore Ann Magnuson Aunjanue Ellis Tamara Tunie,Kasi Lemmons,4.722403
Drama History War,berlin poison dictator clerk ideology,Downfall,Bruno Ganz Alexandra Maria Lara Corinna Harfouch Ulrich Matthes Juliane K\u00f6hler,Oliver Hirschbiegel,32.445895
Drama,brother brother relationship paraplegic intensive care ladykiller wheelchair,The Sea Inside,Javier Bardem Bel\u00e9n Rueda Lola Due\u00f1as Joan Dalmau Josep Maria Pou,Alejandro Amen\u00e1bar,17.363739000000002
Thriller Science Fiction Drama,male nudity scotland edinburgh alien very little dialogue,Under the Skin,Scarlett Johansson Kry\u0161tof H\u00e1dek Paul Brannigan Michael Moreland Scott Dymond,Jonathan Glazer,29.782161
Comedy Drama War,rock and roll radio station war crimes entertainer explosive,"Good Morning, Vietnam",Robin Williams Forest Whitaker Tung Thanh Tran Chintara Sukapatana Bruno Kirby,Barry Levinson,18.362333
Action Comedy Thriller,,The Last Godfather,Harvey Keitel Jason Mewes Blake Clark Jon Polito Paul Hipp,Shim Hyung-Rae,0.6807529999999999
Documentary Music Family,manager canada pop singer star prayer,Justin Bieber: Never Say Never,Justin Bieber Miley Cyrus Usher Raymond Jaden Smith Sean Kingston,Jon M. Chu,6.735922
Drama Thriller,dancing competition sex dancer obsession,Black Swan,Natalie Portman Mila Kunis Vincent Cassel Barbara Hershey Winona Ryder,Darren Aronofsky,91.28568299999999
Drama Crime,italo-american cuba vororte melancholy praise,The Godfather: Part II,Al Pacino Robert Duvall Diane Keaton Robert De Niro John Cazale,Francis Ford Coppola,105.79293600000001
Drama Family Romance Music,ballet dancer musical ballet,Save the Last Dance,Julia Stiles Sean Patrick Thomas Kerry Washington Fredro Starr Terry Kinney,Thomas Carter,9.969624000000001
Horror Thriller,martial arts nightmare supernatural high school resurrection,A Nightmare on Elm Street 4: The Dream Master,Robert Englund Tuesday Knight Ken Sagoes Rodney Eastman Lisa Wilcox,Renny Harlin,17.113408
Drama,miracle christian cure woman director accident,Miracles from Heaven,Jennifer Garner Kylie Rogers Martin Henderson Brighton Sharbino Courtney Fansler,Patricia Riggen,10.248439
Comedy,dude amnesia idiot auto friendship,"Dude, Where’s My Car?",Ashton Kutcher Seann William Scott Kristy Swanson Jennifer Garner Marla Sokoloff,Danny Leiner,25.316146
Crime Action Adventure Drama Western,corruption sheriff deputy sheriff ranch billy the kid,Young Guns,Emilio Estevez Kiefer Sutherland Lou Diamond Phillips Charlie Sheen Dermot Mulroney,Christopher Cain,9.499325
Comedy,babysitter friendship neighbor divorce child of divorce,St. Vincent,Bill Murray Melissa McCarthy Naomi Watts Jaeden Lieberher Chris O'Dowd,Theodore Melfi,43.791745
Comedy Romance,duringcreditsstinger,About Last Night,Kevin Hart Michael Ealy Regina Hall Joy Bryant Christopher McDonald,Steve Pink,11.828068
Comedy Romance Drama,shakespeare sister high school cannabis deception,10 Things I Hate About You,Heath Ledger Julia Stiles Joseph Gordon-Levitt Larisa Oleynik David Krumholtz,Gil Junger,54.550275
Comedy Family,prison dual identity identity loser high school,The New Guy,DJ Qualls Eliza Dushku Zooey Deschanel Lyle Lovett Jerod Mixon,Ed Decter,13.525704000000001
Comedy,cocaine police spoof los angeles,National Lampoon's Loaded Weapon 1,Emilio Estevez Samuel L. Jackson Jon Lovitz Tim Curry Kathy Ireland,Gene Quintano,12.963328
Horror Drama Thriller,mexico beach surfer island survival,The Shallows,Blake Lively \u00d3scar Jaenada Angelo Josue Lozano Corzo Jos\u00e9 Manuel Trujillo Salas Brett Cullen,Jaume Collet-Serra,60.829620999999996
Science Fiction Thriller,amnesia chaos theory blackout time travel flashback,The Butterfly Effect,Ashton Kutcher Melora Walters Amy Smart Elden Henson William Lee Scott,Eric Bress,73.307513
Comedy Family,,Snow Day,Chevy Chase Chris Elliott Jean Smart Iggy Pop Pam Grier,Chris Koch,7.964289
Comedy Drama,drama family family holiday family feud,This Christmas,Loretta Devine Delroy Lindo Idris Elba Regina King Laz Alonso,Preston A. Whitmore II,2.388918
Science Fiction Comedy Family,baby genius toddler baby geniuses,Baby Geniuses,Kathleen Turner Christopher Lloyd Kim Cattrall Peter MacNicol Dom DeLuise,Bob Clark,4.580081
Action Adventure Comedy Thriller,bungee-jump dark comedy cigarette smoking slow motion video store,The Big Hit,Mark Wahlberg Lou Diamond Phillips Christina Applegate China Chow Avery Brooks,Kirk Wong,6.425528
Comedy Drama Family,spy secret nanny notebook binoculars,Harriet the Spy,Michelle Trachtenberg Rosie O'Donnell J. Smith-Cameron Eartha Kitt Vanessa Lee Chester,Bronwen Hughes,4.63093
Drama Horror,faithlessness puppet killer toys toy comes to life,Child's Play 2,Alex Vincent Jenny Agutter Gerrit Graham Christine Elise Brad Dourif,John Lafia,16.681567
Crime Thriller,sadistic hostage sociopath serial killer blood,No Good Deed,Idris Elba Taraji P. Henson Leslie Bibb Kate del Castillo Henry Simmons,Sam Miller,24.656067999999998
Science Fiction Horror Thriller,father son relationship monster supermarket fight artist,The Mist,Thomas Jane Marcia Gay Harden Laurie Holden Andre Braugher Toby Jones,Frank Darabont,37.104353
Drama Science Fiction,dancing artificial intelligence distrust isolation technology,Ex Machina,Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson,Alex Garland,95.130041
Fantasy Drama Comedy,individual transvestism sexual identity witch identity,Being John Malkovich,John Cusack Cameron Diaz Catherine Keener Charlie Sheen John Malkovich,Spike Jonze,27.546914
Comedy Romance,,Two Can Play That Game,Vivica A. Fox Morris Chestnut Anthony Anderson Gabrielle Union Wendy Raquel Robinson,Mark Brown,2.2721299999999998
Family Adventure Science Fiction,alien found footage,Earth to Echo,Teo Halm Astro Resse Hartwig Ella Wahlestedt Jason Gray-Stanford,Dave Green,17.371326999999994
Drama Romance,lovesickness jealousy parents kids relationship love of one's life cutting the cord,Crazy/Beautiful,Kirsten Dunst Jay Hernandez Bruce Davison Herman Osorio Miguel Castro,John Stockwell,6.130096
Action Adventure Drama War,world war ii cave dying and death pacific theater japanese army,Letters from Iwo Jima,Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara Ryo Kase Shidou Nakamura,Clint Eastwood,24.472479999999997
Adventure Comedy Drama Science Fiction,nasa texas dream fbi bankrupt,The Astronaut Farmer,Billy Bob Thornton Virginia Madsen Max Thieriot Jasper Polish Logan Polish,Michael Polish,6.764436999999999
Comedy Romance,"blind date love manhattan, new york city woman director",Woo,Jada Pinkett Smith Tommy Davidson Duane Martin Michael Ralph Darrel Heath,Daisy von Scherler Mayer,1.750054
Drama Thriller,based on novel carpet isolation kidnapping imprisonment,Room,Brie Larson Jacob Tremblay Joan Allen Sean Bridgers William H. Macy,Lenny Abrahamson,66.11334000000001
Comedy,,Dirty Work,Norm Macdonald Artie Lange Jack Warden Traylor Howard Don Rickles,Bob Saget,9.066881
Comedy Crime Horror Thriller,housewife protection motherly love evil mother murder,Serial Mom,Kathleen Turner Sam Waterston Ricki Lake Matthew Lillard Traci Lords,John Waters,6.170139
Comedy,richard nixon watergate the white house,Dick,Kirsten Dunst Michelle Williams Will Ferrell Dan Hedaya Bruce McCulloch,Andrew Fleming,4.7425370000000004
Drama Thriller,,Light It Up,Usher Raymond Vanessa Williams Forest Whitaker Rosario Dawson Robert Ri'chard,Craig Bolotin,1.212956
Music Drama,new york sex nightclub money drug,54,Ryan Phillippe Salma Hayek Breckin Meyer Mike Myers Neve Campbell,Mark Christopher,11.880899000000001
Adventure Comedy Drama Romance,lovesickness niagara falls crush youth illness,Bubble Boy,Jake Gyllenhaal Swoosie Kurtz Marley Shelton Danny Trejo John Carroll Lynch,Blair Hayes,10.131122999999999
Comedy Crime Thriller,female nudity robbery mail order bride bank clerk,Birthday Girl,Nicole Kidman Ben Chaplin Vincent Cassel Mathieu Kassovitz Kate Lynn Evans,Jez Butterworth,5.831302
Comedy,alcohol birthday debauchery,21 & Over,Miles Teller Skylar Astin Justin Chon Sarah Wright Jonathan Keltz,Jon Lucas,35.522027
Drama Romance,paris city portrait jazz subway new love,"Paris, je t'aime",Steve Buscemi Natalie Portman Willem Dafoe Maggie Gyllenhaal Axel Kiener,Isabel Coixet,10.573191
Drama,sport,Resurrecting the Champ,Samuel L. Jackson Josh Hartnett Alan Alda Teri Hatcher Kathryn Morris,Rod Lurie,4.898437
Comedy Drama Romance,princeton university admissions,Admission,Tina Fey Paul Rudd Michael Sheen Lily Tomlin Wallace Shawn,Paul Weitz,17.632445999999995
Romance Drama,france island fisherman love revenge,The Widow of Saint-Pierre,Daniel Auteuil Emir Kusturica Juliette Binoche Michel Duchaussoy Philippe Magnan,Patrice Leconte,1.7800650000000002
Drama Thriller Mystery,toronto lesbian remake of french film suspicious wife female doctor,Chloe,Julianne Moore Liam Neeson Amanda Seyfried Max Thieriot R. H. Thomson,Atom Egoyan,26.373864
Comedy Crime Drama,kitchen female protagonist bathtub wedding anniversary flashback,Faithful,Cher Chazz Palminteri Ryan O'Neal Paul Mazursky Amber Smith,Paul Mazursky,1.6473349999999998
Drama Action Comedy Crime,court case staatsanw\u00e4ltin family clan gangster,Find Me Guilty,Vin Diesel Alex Rocco Frank Pietrangolare Richard DeDomenico Paul Borghese,Sidney Lumet,12.321302000000001
Drama Romance,shyness secret narration kiss freshman,The Perks of Being a Wallflower,Logan Lerman Emma Watson Ezra Miller Paul Rudd Nina Dobrev,Stephen Chbosky,43.444134999999996
Action,police shoulder holster police shootout shootout at a train station,Excessive Force,Thomas Ian Griffith Lance Henriksen James Earl Jones Burt Young Tony Todd,Jon Hess,1.2791059999999999
Drama,killing death penalty kansas author murder hunt,Infamous,Sigourney Weaver Toby Jones Gwyneth Paltrow Sandra Bullock Isabella Rossellini,Douglas McGrath,3.6808959999999997
Drama Romance Western,,The Claim,Peter Mullan Milla Jovovich Wes Bentley Nastassja Kinski Sarah Polley,Michael Winterbottom,2.996284
Thriller Horror,exorcism anti-christ exorcist,The Vatican Tapes,Olivia Taylor Dudley Michael Pe\u00f1a Djimon Hounsou Dougray Scott Peter Andersson,Mark Neveldine,10.475368
Action Comedy Science Fiction,street gang fireworks chase meteor playground,Attack the Block,Nick Frost Jodie Whittaker John Boyega Luke Treadaway Flaminia Cinque,Joe Cornish,30.952377000000002
Drama Romance War,muslim sister sister relationship sarajevo bosnian war of 1992-1995 violence,In the Land of Blood and Honey,Zana Marjanovi\u0107 Goran Kosti\u0107 Branko \u0110uri\u0107 Dzana Pinjo Milo\u0161 Timotijevi\u0107,Angelina Jolie,4.2674660000000015
Crime Thriller,underground gas station kidnapping murder suspense,The Call,Halle Berry Abigail Breslin Morris Chestnut Michael Imperioli Ella Rae Peck,Brad Anderson,34.532418
History Drama War Action,"korea fictionalized history operation ""trudy jackson"" general douglas macarthur operation x-ray",Operation Chromite,Lee Jung-jae Liam Neeson Lee Beom-soo Jin Se-yeon Jung Joon-ho,John H. Lee,6.116436
Family Action Adventure,crocodile,The Crocodile Hunter: Collision Course,Steve Irwin Terri Irwin Magda Szubanski David Wenham Lachy Hulme,John Stainton,1.7149720000000002
Comedy Drama Romance,judge small town con man fraud jail,I Love You Phillip Morris,Jim Carrey Ewan McGregor Leslie Mann Rodrigo Santoro Brennan Brown,Glenn Ficarra,19.664699
Adventure Drama,stone age cavemen prehistoric adventure prehistoric times prehistoric man,Quest for Fire,Everett McGill Ron Perlman Nicholas Kadi Rae Dawn Chong Gary Schwartz,Jean-Jacques Annaud,6.537986
Drama Romance,u.s. navy biography,Antwone Fisher,Derek Luke Malcolm David Kelley Cory Hodges Denzel Washington Joy Bryant,Denzel Washington,13.349012
Drama Romance,,The Emperor's Club,Kevin Kline Emile Hirsch Embeth Davidtz Rob Morrow Edward Herrmann,Michael Hoffman,6.796079
Action Thriller Crime Romance,father son relationship film producer mexican standoff loss of father cocaine,True Romance,Christian Slater Patricia Arquette Michael Rapaport Bronson Pinchot Gary Oldman,Tony Scott,35.268557
Romance Science Fiction,,Womb,Eva Green Matt Smith Lesley Manville Peter Wight Istv\u00e1n L\u00e9n\u00e1rt,Benedek Fliegauf,7.453347
Crime Drama Mystery,robbery office shop estate agent company,Glengarry Glen Ross,Al Pacino Jack Lemmon Alec Baldwin Alan Arkin Ed Harris,James Foley,13.939054
Crime Drama Thriller,sheriff crime fighter,The Killer Inside Me,Casey Affleck Kate Hudson Jessica Alba Ned Beatty Tom Bower,Michael Winterbottom,11.892615
Drama Fantasy Horror Thriller,shotgun attack lingerie held captive incest,Cat People,Nastassja Kinski Malcolm McDowell John Heard Ruby Dee Ed Begley Jr.,Paul Schrader,5.69872
Horror Mystery Thriller,female nudity graduation serial killer blood slasher,Sorority Row,Rumer Willis Briana Evigan Jamie Chung Leah Pipes Teri Andrzejewski,Stewart Hendler,8.780512
Adventure Drama Romance,kidnapping coronation villain kingdom heir to the throne,The Prisoner of Zenda,Ronald Colman Madeleine Carroll Raymond Massey Mary Astor Douglas Fairbanks Jr.,John Cromwell,4.021389
Comedy Romance Drama,garage lone wolf dying and death loss delusion,Lars and the Real Girl,Ryan Gosling Emily Mortimer Paul Schneider Kelli Garner Lauren Ash,Craig Gillespie,15.817096
War Drama,nationalism concentration camp world war ii gas chamber nazis,The Boy in the Striped Pyjamas,Asa Butterfield Jack Scanlon Vera Farmiga David Thewlis Rupert Friend,Mark Herman,34.821222999999996
Drama Crime Music,individual dancing usa robbery factory worker,Dancer in the Dark,Bj\u00f6rk Catherine Deneuve David Morse Peter Stormare Joel Grey,Lars von Trier,22.022228
Drama Romance,minister australia inheritance wager woman director,Oscar and Lucinda,Ralph Fiennes Cate Blanchett Ciar\u00e1n Hinds Tom Wilkinson Richard Roxburgh,Gillian Armstrong,0.13938399999999998
Crime Drama,suicide bedroom strike great depression trade union,The Funeral,Christopher Walken Chris Penn Annabella Sciorra Isabella Rossellini Vincent Gallo,Abel Ferrara,2.950618
Comedy Drama Romance,infidelity bankrupt loneliness comedy family drama,Solitary Man,Michael Douglas Danny DeVito Jesse Eisenberg Susan Sarandon Mary-Louise Parker,Brian Koppelman,7.497306
Action Comedy Thriller,illegal immigration immigration law machete politician death of a child,Machete,Danny Trejo Michelle Rodriguez Jessica Alba Robert De Niro Lindsay Lohan,Robert Rodriguez,26.396190999999998
Crime Comedy Drama,biography duringcreditsstinger,Casino Jack,Kevin Spacey Kelly Preston Hannah Endicott-Douglas Rachelle Lefevre Barry Pepper,George Hickenlooper,6.546037
Animation Adventure Family,vulkan loss of mother tyrannosaurus rex earthquake primitive time,The Land Before Time,Gabriel Damon Candace Hutson Judith Barsi Will Ryan Pat Hingle,Don Bluth,28.670192999999998
Action Adventure Drama History War,archaeologist korean war north korea south korea air raid,Tae Guk Gi: The Brotherhood of War,Jang Dong-gun Won Bin Lee Eun-ju Gong Hyung-jin Park Jeong-Woo,Kang Je-gyu,9.572705000000001
Drama Family,baseball sport based on true story family relationships,The Perfect Game,Clifton Collins Jr Cheech Marin Mois\u00e9s Arias Emilie de Ravin Jake T. Austin,William Dear,0.9035290000000001
Drama Horror Thriller,exorcism holy water religion and supernatural vomit christian,The Exorcist,Linda Blair Max von Sydow Ellen Burstyn Jason Miller Lee J. Cobb,William Friedkin,47.584643
Horror Thriller Adventure,fishing atlantic ocean bathing shipwreck police chief,Jaws,Roy Scheider Robert Shaw Richard Dreyfuss Lorraine Gary Murray Hamilton,Steven Spielberg,50.152327
Comedy Romance,graduation innocence coming of age teenager high school student,American Pie,Jason Biggs Chris Klein Thomas Ian Nicholas Alyson Hannigan Shannon Elizabeth,Chris Weitz,60.76716800000001
Animation Comedy Drama Family,mouse musician friendship prejudice bear,Ernest & Celestine,Anne-Marie Loop Lambert Wilson Pauline Brunner Patrice Melennec Brigitte Virtudes,St\u00e9phane Aubier,11.103202
Action Adventure Comedy,monk social worker wretch tibet demon,The Golden Child,Eddie Murphy Charles Dance Charlotte Lewis Victor Wong Peter Kwong,Michael Ritchie,15.262129999999999
Comedy Romance,advice love relationship ensemble cast duringcreditsstinger,Think Like a Man,Michael Ealy Jerry Ferrara Meagan Good Regina Hall Kevin Hart,Tim Story,6.035152
Comedy Drama,hairdresser shop neighbor debt meeting,Barbershop,Ice Cube Anthony Anderson Cedric the Entertainer Sean Patrick Thomas Eve,Tim Story,10.297189
Action Adventure Science Fiction Thriller,uss enterprise genesis asteroid self sacrifice midlife crisis,Star Trek II: The Wrath of Khan,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Nicholas Meyer,22.434102
Comedy Mystery,dolphin mascot private detective pets,Ace Ventura: Pet Detective,Jim Carrey Sean Young Courteney Cox Tone Loc Dan Marino,Tom Shadyac,41.249004
Thriller Science Fiction,video game artificial intelligence fbi cold war hacker,WarGames,Matthew Broderick Dabney Coleman Ally Sheedy John Wood Barry Corbin,John Badham,23.161754000000002
Crime Drama Romance Thriller,corruption detective police brutality amish suspense,Witness,Harrison Ford Kelly McGillis Josef Sommer Lukas Haas Jan Rubes,Peter Weir,19.195399
Action Thriller War,submarine navy scuba diving heroism navy seal,Act of Valor,Roselyn S\u00e1nchez Emilio Rivera Nestor Serrano Gonzalo Menendez Alexander Asefa,Mike McCoy,21.958054999999998
Music Drama Romance Crime,dancing new love dance baltimore art school,Step Up,Channing Tatum Jenna Dewan Damaine Radcliff De'Shawn Washington Mario,Anne Fletcher,45.477802000000004
Animation Comedy,washington d.c. casino hotel sun television,Beavis and Butt-Head Do America,Mike Judge Bruce Willis Demi Moore Robert Stack Richard Linklater,Mike Judge,12.60629
Comedy Crime Romance,airport underworld arms deal weapon police,Jackie Brown,Pam Grier Samuel L. Jackson Robert Forster Bridget Fonda Michael Keaton,Quentin Tarantino,40.631671000000004
Comedy Adventure,terrorist aftercreditsstinger duringcreditsstinger,Harold & Kumar Escape from Guantanamo Bay,John Cho Kal Penn Neil Patrick Harris Rob Corddry Jack Conley,Jon Hurwitz,26.219597999999998
Science Fiction Drama Thriller,seattle telekinesis friendship loneliness outcast,Chronicle,Dane DeHaan Alex Russell Michael B. Jordan Michael Kelly Anna Wood,Josh Trank,64.504747
Music Drama Romance,studies music disguise unhappiness boys' school,Yentl,Barbra Streisand Mandy Patinkin Amy Irving Nehemiah Persoff Steven Hill,Barbra Streisand,3.389249
Family Fantasy Science Fiction Adventure Comedy,treasure map magic time travel titanic,Time Bandits,Sean Connery John Cleese Shelley Duvall Michael Palin Ian Holm,Terry Gilliam,14.779537
Action Adventure Comedy Drama Family,dancing women sex karaoke dream,Crossroads,Britney Spears Zoe Saldana Taryn Manning Anson Mount Dan Aykroyd,Tamra Davis,6.7033190000000005
Comedy Crime,vandalism high school swimming pool party teen movie,Project X,Oliver Cooper Jonathan Daniel Brown Thomas Mann Dax Flame Kirby Bliss Blanton,Nima Nourizadeh,49.070321
Drama History War,general world war ii normandy biography historical figure,Patton,George C. Scott Karl Malden Stephen Young Michael Strong Carey Loftin,Franklin J. Schaffner,21.933822
Horror Thriller,sexual abuse hotel room cheating supermarket penalty,One Hour Photo,Robin Williams Connie Nielsen Michael Vartan Erin Daniels Eriq La Salle,Mark Romanek,20.624896
Horror Science Fiction Thriller,quarantine remake tv reporter found footage virus,Quarantine,Jennifer Carpenter Steve Harris Jay Hernandez Johnathon Schaech Columbus Short,John Erick Dowdle,8.083995
Drama Horror Thriller,sister sister relationship blindness and impaired vision eye operation eyesight dying and death,The Eye,Jessica Alba Alessandro Nivola Parker Posey Rade Serbedzija Fernanda Romero,David Moreau,11.135734
Comedy Family,,Johnson Family Vacation,Cedric the Entertainer Vanessa Williams Steve Harvey Shari Headley Shad Moss,Christopher Erskin,4.623609
Comedy,carpet pimp harvard university joint cannabis,How High,Method Man Redman Obba Babatund\u00e9 Mike Epps Anna Maria Horsford,Jesse Dylan,11.510280999999999
Comedy Family Fantasy Drama,holiday future musical past scrooge,The Muppet Christmas Carol,Michael Caine Don Austen Meredith Braun Don Austen Ed Sanders,Brian Henson,15.085981
Drama Romance,painter love of one's life disabled woman director,Frida,Salma Hayek Alfred Molina M\u00eda Maestro Patricia Reyes Sp\u00edndola Diego Luna,Julie Taymor,18.422327
Documentary Music,woman director,Katy Perry: Part of Me,Katy Perry Russell Brand Shannon Woodward Rachael Markarian Mia Moretti,Dan Cutforth,8.410688
Romance Drama,amsterdam based on novel support group cancer teenager,The Fault in Our Stars,Shailene Woodley Ansel Elgort Nat Wolff Laura Dern Sam Trammell,Josh Boone,74.358971
Drama Crime,gambling law compulsive gambling roulette gain,Rounders,Matt Damon John Turturro Gretchen Mol Goran Visnjic Edward Norton,John Dahl,18.422007999999998
Drama Comedy,comedian interview reporter movie star fianc\u00e9 fianc\u00e9e relationship,Top Five,Chris Rock Rosario Dawson J.B. Smoove Gabrielle Union Romany Malco,Chris Rock,15.896312
Horror Science Fiction,monster mutant toxic native american environmental,Prophecy,Talia Shire Robert Foxworth Armand Assante Richard Dysart Victoria Racimo,John Frankenheimer,8.616589999999999
Horror Mystery Thriller,secret obsession paranoia grave haunted house,Stir of Echoes,Kevin Bacon Kathryn Erbe Illeana Douglas Kevin Dunn Conor O'Farrell,David Koepp,6.044161
Drama,mother washington d.c. journalist adoption forgiveness,Philomena,Judi Dench Steve Coogan Sophie Kennedy Clark Mare Winningham Barbara Jefford,Stephen Frears,29.019503999999998
Comedy Drama,sex lie college funeral friendship,The Upside of Anger,Joan Allen Kevin Costner Erika Christensen Keri Russell Alicia Witt,Mike Binder,6.2464
Horror Drama Thriller Science Fiction,paraguay mengele nazi hunter third reich,The Boys from Brazil,Gregory Peck Laurence Olivier James Mason Lilli Palmer Uta Hagen,Franklin J. Schaffner,5.315213
Fantasy Romance Family Comedy,female friendship mermaid teenager woman director,Aquamarine,Emma Roberts Joanna 'JoJo' Levesque Sara Paxton Jake McDorman Arielle Kebbel,Elizabeth Allen Rosenbaum,16.931846
Drama Mystery Romance,friendship high school teenager classmate based on young adult novel,Paper Towns,Nat Wolff Cara Delevingne Justice Smith Austin Abrams Halston Sage,Jake Schreier,64.610671
Comedy,birth expectant mother fatherhood baby born woman director,My Baby's Daddy,Eddie Griffin Anthony Anderson Michael Imperioli Method Man Paula Jai Parker,Cheryl Dunye,4.480167
Drama Adventure,montana small town dementia aging road trip,Nebraska,Bruce Dern Will Forte Bob Odenkirk June Squibb Stacy Keach,Alexander Payne,29.223881
Horror Comedy Thriller,prostitute key jesus christ chosen one god,Tales from the Crypt: Demon Knight,Billy Zane William Sadler Jada Pinkett Smith Brenda Bakke CCH Pounder,Ernest R. Dickerson,7.710797
